name,surname,score,working environment
Sam,Henderson,79,Economic
Richard,Cole,70,Economic
Lydia,Smith,70,Economic
Edith,Harper,68,Economic
Paul,Ellis,67,Economic
Sabrina,Williams,67,Economic
Robert,Ross,66,Economic
Chelsea,Stevens,65,Economic
Tiana,Allen,64,Economic
Michelle,Baker,64,Economic
Heather,Taylor,64,Economic
Eric,Clark,64,Economic
John,Kelly,63,Economic
Audrey,Brown,62,Economic
Elise,Harris,62,Economic
Haris,Morgan,62,Economic
Haris,Hamilton,61,Economic
Bruce,Carter,61,Economic
Carlos,Crawford,61,Economic
Kirsten,Armstrong,61,Economic
Heather,Murray,61,Economic
Vanessa,Cameron,61,Economic
Ellia,Gibson,61,Economic
Lyndon,Walker,61,Economic
Robert,Howard,60,Economic
Jacob,Robinson,60,Economic
Victor,Lloyd,60,Economic
Honey,Hawkins,60,Economic
Nicole,Richards,60,Economic
Chester,Richards,60,Economic
Steven,Ryan,60,Economic
Jenna,Barrett,60,Economic
Frederick,Kelly,59,Economic
Michelle,Carroll,59,Economic
Jack,Murphy,58,Economic
Arianna,Allen,58,Economic
Tara,West,58,Economic
Tony,Cameron,58,Economic
Tess,Scott,58,Economic
Arthur,Bennett,58,Economic
Melissa,Cunningham,58,Economic
Alissa,Hall,58,Economic
Amelia,Kelly,57,Economic
Brad,Richards,57,Economic
Samantha,Ellis,57,Economic
Jared,Perry,57,Economic
Deanna,Johnson,57,Economic
Marcus,Richards,57,Economic
James,Brown,57,Economic
Max,Johnson,57,Economic
Florrie,Craig,56,Economic
Tyler,Harrison,56,Economic
Edith,Farrell,56,Economic
Henry,Chapman,56,Economic
Vanessa,Andrews,56,Economic
Lenny,Crawford,56,Economic
Aiden,Howard,56,Economic
Sydney,Ross,56,Economic
Alen,Baker,56,Economic
Florrie,Ross,56,Economic
Michelle,Wright,56,Economic
Honey,Elliott,56,Economic
Edith,Thomas,56,Economic
Alfred,Foster,56,Economic
Adelaide,Andrews,55,Economic
Alford,Thompson,55,Economic
Michelle,Tucker,55,Economic
Dainton,Crawford,55,Economic
Reid,Ferguson,55,Economic
Adrian,Barrett,55,Economic
Rebecca,Howard,55,Economic
Camila,Richards,55,Economic
Naomi,Martin,55,Economic
Dale,Moore,55,Economic
Miley,Davis,55,Economic
Jacob,Cole,55,Economic
Max,Taylor,55,Economic
Max,Grant,55,Economic
Isabella,Williams,55,Economic
Penelope,Ellis,54,Economic
Leonardo,Mason,54,Economic
Valeria,Harris,54,Economic
Lucy,Gibson,54,Economic
Stella,Craig,54,Economic
Alina,Higgins,54,Economic
Albert,Higgins,54,Economic
Clark,Casey,54,Economic
Caroline,Sullivan,54,Economic
Sophia,Hamilton,54,Economic
Jasmine,Johnston,54,Economic
Preston,Brown,54,Economic
Rosie,Smith,54,Economic
Ada,Gray,54,Economic
Walter,Carter,54,Economic
David,Harper,53,Economic
Patrick,Morgan,53,Economic
Charlie,Hawkins,53,Economic
Jenna,Smith,53,Economic
Alissa,Barnes,53,Economic
Daryl,Ryan,53,Economic
Maximilian,Murray,53,Economic
Brianna,Bennett,53,Economic
Byron,Hawkins,53,Economic
Kirsten,Mitchell,53,Economic
Oscar,Scott,53,Economic
Samantha,Mitchell,53,Economic
William,Stewart,52,Economic
Kimberly,Bennett,52,Economic
Rosie,Perkins,52,Economic
Kellan,Kelly,52,Economic
Alberta,Ryan,52,Economic
Vanessa,Hall,52,Economic
Albert,Lloyd,52,Economic
Sienna,Hill,52,Economic
Preston,Murphy,52,Economic
Sarah,Armstrong,52,Economic
Carlos,Hill,52,Economic
Frederick,Wells,52,Economic
Isabella,Farrell,52,Economic
Luke,Cunningham,52,Economic
Maddie,Stevens,52,Economic
Alen,Holmes,52,Economic
Edwin,Harrison,52,Economic
Nicole,Johnson,52,Economic
Stella,Jones,52,Economic
Emily,Armstrong,52,Economic
Edgar,Craig,52,Economic
Lenny,Payne,52,Economic
Adison,Warren,51,Economic
Jessica,Craig,51,Economic
Stella,West,51,Economic
Adrianna,Cameron,51,Economic
Carl,Johnson,51,Economic
Cherry,Foster,51,Economic
Sabrina,Wilson,51,Economic
Alen,Cameron,51,Economic
Miley,Anderson,51,Economic
Marcus,Walker,51,Economic
Maya,Cooper,51,Economic
Tony,Perry,51,Economic
Richard,Roberts,51,Economic
Kristian,Armstrong,51,Economic
Dainton,Turner,51,Economic
Oscar,Lloyd,51,Economic
Chester,Hawkins,51,Economic
Edgar,Montgomery,51,Economic
Alexander,Mitchell,51,Economic
Caroline,Andrews,50,Economic
Connie,Smith,50,Economic
Jessica,Murphy,50,Economic
Clark,Watson,50,Economic
Edgar,Thompson,50,Economic
Violet,Thomas,50,Economic
Belinda,Montgomery,50,Economic
Charlotte,Walker,50,Economic
Jenna,Campbell,50,Economic
Camila,Ryan,50,Economic
Violet,Turner,50,Economic
Carl,Stevens,50,Economic
Kimberly,Allen,50,Economic
Ellia,Perry,50,Economic
Nicholas,Montgomery,50,Economic
Derek,Andrews,50,Economic
Penelope,Farrell,49,Economic
Sabrina,Phillips,49,Economic
Savana,Parker,49,Economic
Natalie,Ellis,49,Economic
Alina,Hamilton,49,Economic
Maria,Kelly,49,Economic
Belinda,Spencer,49,Economic
Bruce,Taylor,49,Economic
Carl,Casey,49,Economic
Haris,Riley,49,Economic
Edith,Williams,49,Economic
Charlotte,Perry,49,Economic
Alexander,Miller,49,Economic
Naomi,Thompson,49,Economic
Victoria,Parker,49,Economic
Carina,Alexander,49,Economic
Alfred,Wilson,49,Economic
Lyndon,Mason,49,Economic
Maximilian,Cooper,49,Economic
Kevin,Murphy,49,Economic
Darcy,Thompson,48,Economic
Hailey,Scott,48,Economic
Haris,Ross,48,Economic
Vincent,Gibson,48,Economic
Honey,Grant,48,Economic
Abigail,Murphy,48,Economic
Melissa,Payne,48,Economic
Alford,Richards,48,Economic
Natalie,Roberts,48,Economic
Tiana,Mason,48,Economic
Ryan,Hill,48,Economic
Caroline,Phillips,48,Economic
Kate,Montgomery,48,Economic
Edith,Roberts,48,Economic
Eric,Smith,48,Economic
Fenton,Warren,48,Economic
Richard,Warren,48,Economic
Justin,Hunt,48,Economic
Andrew,Taylor,48,Economic
Abigail,Wright,48,Economic
Max,Edwards,48,Economic
Fiona,Higgins,48,Economic
Lenny,Carroll,48,Economic
Harold,Williams,48,Economic
Daisy,Robinson,47,Economic
Maddie,Campbell,47,Economic
Agata,Watson,47,Economic
Amy,Carter,47,Economic
Heather,Barrett,47,Economic
Amber,Higgins,47,Economic
Adelaide,Bailey,47,Economic
Cherry,Clark,47,Economic
Agata,Riley,47,Economic
Abraham,Hunt,47,Economic
Jenna,Kelly,47,Economic
Oscar,Cooper,47,Economic
Jasmine,Taylor,47,Economic
Jasmine,Bennett,47,Economic
Haris,Richardson,47,Economic
Lenny,Wells,47,Economic
Alisa,Morgan,47,Economic
Michelle,Riley,47,Economic
Madaline,Cunningham,47,Economic
Chelsea,Robinson,47,Economic
Joyce,Douglas,47,Economic
Walter,Clark,47,Economic
Maddie,Robinson,47,Economic
Marcus,Sullivan,47,Economic
Harold,Fowler,47,Economic
Patrick,Kelly,47,Economic
Chloe,Stevens,47,Economic
Honey,Harper,47,Economic
Stuart,Warren,46,Economic
Eleanor,Mason,46,Economic
Alissa,Roberts,46,Economic
Fiona,Craig,46,Economic
Lucas,Williams,46,Economic
Roland,Stevens,46,Economic
April,Russell,46,Economic
Ashton,Grant,46,Economic
Antony,Howard,46,Economic
Sofia,Davis,46,Economic
Nicholas,Cooper,46,Economic
Alina,Scott,46,Economic
Andrew,Hamilton,46,Economic
Naomi,Cooper,46,Economic
Martin,Crawford,46,Economic
Miller,Douglas,46,Economic
Adrian,Wright,46,Economic
Savana,Foster,46,Economic
Sofia,Holmes,46,Economic
Antony,Rogers,46,Economic
Rafael,Parker,46,Economic
Charlie,Alexander,46,Economic
Aida,Edwards,46,Economic
Abraham,Bennett,46,Economic
Wilson,Perkins,46,Economic
Jared,Thompson,46,Economic
Olivia,Montgomery,45,Economic
Tess,Edwards,45,Economic
Arnold,Farrell,45,Economic
Abigail,Riley,45,Economic
Sydney,Russell,45,Economic
Adam,Brown,45,Economic
Naomi,Myers,45,Economic
Audrey,Wilson,45,Economic
Alford,Cunningham,45,Economic
Leonardo,Roberts,45,Economic
Ashton,Morrison,45,Economic
Aldus,Montgomery,45,Economic
April,Johnston,45,Economic
Joyce,Barrett,45,Economic
Maya,Stevens,45,Economic
Eleanor,Kelly,45,Economic
Aida,Evans,45,Economic
Antony,Ferguson,45,Economic
Alisa,Casey,45,Economic
Rebecca,Barnes,45,Economic
Lana,Bailey,45,Economic
Tess,Mitchell,45,Economic
Charlotte,Richards,45,Economic
Chloe,Kelly,45,Economic
Haris,Johnson,45,Economic
Aldus,Scott,45,Economic
George,Stewart,45,Economic
Mike,Cooper,44,Economic
Jacob,Adams,44,Economic
Rubie,West,44,Economic
Tara,Adams,44,Economic
Violet,Stevens,44,Economic
Florrie,Elliott,44,Economic
Chloe,Wilson,44,Economic
Richard,Grant,44,Economic
Emily,Hawkins,44,Economic
Amber,Holmes,44,Economic
Adele,Kelley,44,Economic
Lenny,Ross,44,Economic
George,Cameron,44,Economic
Amelia,Morris,44,Economic
Jared,Scott,44,Economic
Richard,Dixon,44,Economic
Kate,West,44,Economic
Nicholas,Kelly,44,Economic
Natalie,Ross,44,Economic
Isabella,Chapman,44,Economic
Miller,Morris,43,Economic
Joyce,Cunningham,43,Economic
Jessica,Stewart,43,Economic
Edith,Payne,43,Economic
Ashton,Robinson,43,Economic
Amy,Sullivan,43,Economic
Sophia,Harrison,43,Economic
Lucy,Allen,43,Economic
Frederick,Adams,43,Economic
Carl,Cameron,43,Economic
Alina,Allen,43,Economic
Byron,Johnson,43,Economic
Joyce,Wells,43,Economic
Fenton,Barrett,43,Economic
Grace,Davis,43,Economic
Lana,Spencer,43,Economic
Emily,Harris,43,Economic
Camila,Higgins,43,Economic
Thomas,Ross,43,Economic
Amelia,Hill,43,Economic
Julia,Smith,43,Economic
Naomi,Payne,43,Economic
Lyndon,Thompson,43,Economic
Vincent,Elliott,43,Economic
Alexander,Richards,43,Economic
Aiden,Thompson,43,Economic
Frederick,Gibson,43,Economic
Dexter,Stevens,43,Economic
Ashton,Farrell,43,Economic
