name,surname,score,working environment
Miller,Ryan,67,Generic
Tess,Smith,65,Generic
Jacob,Chapman,65,Generic
Walter,Campbell,64,Generic
Amber,Barrett,62,Generic
Amy,Hawkins,61,Generic
Lilianna,Alexander,61,Generic
Charlie,Montgomery,61,Generic
Dexter,Morrison,61,Generic
Adison,Andrews,61,Generic
Jack,Perry,61,Generic
Brad,Dixon,61,Generic
Alissa,Hunt,61,Generic
Dexter,Phillips,60,Generic
Catherine,Spencer,60,Generic
Tiana,Russell,60,Generic
James,Johnston,60,Generic
Isabella,Crawford,60,Generic
Darcy,Parker,60,Generic
Luke,Adams,60,Generic
Ryan,Johnston,60,Generic
Bruce,Crawford,60,Generic
Robert,Farrell,60,Generic
Maddie,Nelson,59,Generic
Alen,Brown,59,Generic
Fiona,Cole,59,Generic
Vincent,Clark,59,Generic
Jacob,Farrell,58,Generic
Alford,Wilson,58,Generic
Alexia,Douglas,58,Generic
Stella,Reed,58,Generic
Sydney,Murray,58,Generic
Sydney,Crawford,58,Generic
Camila,Hall,57,Generic
James,Morgan,57,Generic
Marcus,Stevens,57,Generic
Daryl,Moore,57,Generic
George,Richardson,57,Generic
Richard,Clark,57,Generic
Spike,Johnson,57,Generic
Hailey,Kelley,57,Generic
Cadie,Baker,56,Generic
Kate,Brooks,56,Generic
Preston,Johnston,56,Generic
Edith,Richards,56,Generic
Jasmine,Owens,56,Generic
Julian,Jones,56,Generic
Tess,Kelley,55,Generic
Cadie,Harrison,55,Generic
Fenton,Bennett,55,Generic
Spike,Taylor,55,Generic
Melanie,Armstrong,55,Generic
Amanda,Wells,55,Generic
Byron,Taylor,55,Generic
George,Morgan,55,Generic
Joyce,Edwards,54,Generic
Lucas,Douglas,54,Generic
Charlie,Parker,54,Generic
Miller,Davis,54,Generic
Lana,Morris,54,Generic
Sienna,Casey,54,Generic
Justin,Harper,54,Generic
James,Mitchell,54,Generic
Annabella,Adams,54,Generic
Eddy,Murray,54,Generic
Ryan,Parker,54,Generic
Antony,Gibson,54,Generic
Steven,Barrett,54,Generic
Tyler,Ross,54,Generic
Preston,Adams,54,Generic
Chelsea,Wright,54,Generic
Chester,Sullivan,54,Generic
Alford,Warren,54,Generic
Adrian,Andrews,54,Generic
Aiden,Barnes,54,Generic
Dominik,Thomas,54,Generic
Violet,Wells,54,Generic
Brooke,Smith,53,Generic
Jordan,Williams,53,Generic
James,Hill,53,Generic
Anna,Watson,53,Generic
Caroline,Douglas,53,Generic
Alissa,Montgomery,53,Generic
