name,surname,score,working environment
Patrick,Myers,84,Informatics
Haris,Brooks,82,Informatics
Bruce,Gibson,77,Informatics
Agata,Allen,72,Informatics
Roman,Stewart,72,Informatics
Maddie,Cooper,71,Informatics
Anna,Brown,70,Informatics
David,Ross,70,Informatics
Adrian,Hawkins,70,Informatics
Byron,Myers,70,Informatics
Frederick,Harper,69,Informatics
Richard,Harrison,68,Informatics
Dainton,Casey,68,Informatics
Antony,Riley,68,Informatics
Victor,Higgins,67,Informatics
Steven,Williams,67,Informatics
Carl,Murray,67,Informatics
Aldus,Brown,67,Informatics
Victoria,Kelly,65,Informatics
Chester,Williams,65,Informatics
Carl,Owens,64,Informatics
Daisy,Hill,64,Informatics
Frederick,Henderson,64,Informatics
Julia,Hall,64,Informatics
Elise,Murphy,64,Informatics
Derek,Cole,64,Informatics
Daryl,Parker,63,Informatics
Abraham,Campbell,63,Informatics
Patrick,Martin,63,Informatics
Jessica,Miller,62,Informatics
Amy,Gibson,62,Informatics
Brooke,Edwards,61,Informatics
Maddie,Bennett,61,Informatics
Elian,Richards,61,Informatics
Alisa,Perry,61,Informatics
Adele,Parker,60,Informatics
Eleanor,Douglas,60,Informatics
Adrian,Gibson,60,Informatics
Edith,Wright,60,Informatics
Kellan,Thomas,60,Informatics
Maximilian,Sullivan,60,Informatics
Julia,Baker,60,Informatics
Samantha,Murray,60,Informatics
Dominik,Kelly,60,Informatics
Marcus,Johnston,60,Informatics
Patrick,Brown,59,Informatics
Roman,Carter,59,Informatics
Steven,Murphy,59,Informatics
Amy,Bennett,59,Informatics
Sofia,Richards,59,Informatics
Ashton,Murray,59,Informatics
Tara,Jones,59,Informatics
Albert,Myers,59,Informatics
Brooke,Davis,59,Informatics
Jared,Campbell,59,Informatics
Vivian,Nelson,59,Informatics
Alfred,Hill,58,Informatics
Cherry,Richards,58,Informatics
Jasmine,Morrison,58,Informatics
Ned,Elliott,58,Informatics
Eddy,Brooks,58,Informatics
Annabella,Ross,58,Informatics
Fiona,Owens,57,Informatics
Eleanor,Ferguson,57,Informatics
Amanda,Andrews,57,Informatics
Kelvin,Perkins,57,Informatics
Ada,Dixon,57,Informatics
Jared,Armstrong,57,Informatics
Eddy,Sullivan,57,Informatics
Alen,Warren,57,Informatics
Aiden,Cole,56,Informatics
Annabella,Ryan,56,Informatics
Eddy,Walker,56,Informatics
Charlie,Elliott,56,Informatics
Arthur,Grant,56,Informatics
Michael,Rogers,56,Informatics
Madaline,Payne,56,Informatics
Maya,Thompson,56,Informatics
Cherry,Gibson,56,Informatics
Rebecca,Taylor,56,Informatics
Aida,Henderson,56,Informatics
Maximilian,Chapman,56,Informatics
Frederick,Kelley,56,Informatics
Miller,Dixon,56,Informatics
Haris,Ferguson,56,Informatics
Isabella,Murray,55,Informatics
Aiden,Moore,55,Informatics
Kate,Sullivan,55,Informatics
Vanessa,Thomas,55,Informatics
Nicole,Baker,55,Informatics
Max,Wells,55,Informatics
Nicholas,Johnston,55,Informatics
Elian,Murray,55,Informatics
Patrick,Bennett,55,Informatics
Joyce,Elliott,55,Informatics
Grace,Phillips,55,Informatics
Roman,Taylor,55,Informatics
Sofia,Wells,55,Informatics
Lana,Dixon,55,Informatics
Tara,Allen,55,Informatics
Anna,Armstrong,55,Informatics
Kristian,Hamilton,54,Informatics
Eric,Ellis,54,Informatics
Maximilian,Harris,54,Informatics
William,Richardson,54,Informatics
Belinda,Gray,54,Informatics
Sawyer,Murphy,54,Informatics
Spike,Perkins,54,Informatics
George,Ross,54,Informatics
Ted,Wells,54,Informatics
Adison,Evans,54,Informatics
Walter,Cameron,54,Informatics
Gianna,Crawford,54,Informatics
Alisa,Hall,54,Informatics
Blake,Clark,54,Informatics
Owen,Richards,53,Informatics
Alisa,Richards,53,Informatics
Ted,Williams,53,Informatics
Abigail,Scott,53,Informatics
Miranda,Grant,53,Informatics
Robert,Perry,53,Informatics
Paige,Henderson,53,Informatics
Vanessa,Barnes,53,Informatics
Carl,Hunt,53,Informatics
Gianna,Armstrong,53,Informatics
Tess,Gibson,53,Informatics
Albert,Gray,53,Informatics
Annabella,Bailey,52,Informatics
William,Harrison,52,Informatics
William,Walker,52,Informatics
Alen,Grant,52,Informatics
Preston,Richardson,52,Informatics
Aiden,Stewart,52,Informatics
Fenton,Scott,52,Informatics
Daisy,Campbell,52,Informatics
Rubie,Edwards,52,Informatics
George,Turner,52,Informatics
Dominik,Hill,52,Informatics
Elise,Elliott,52,Informatics
Stella,Campbell,52,Informatics
Jack,Ryan,52,Informatics
Lilianna,Kelly,52,Informatics
Lucia,Ferguson,52,Informatics
Vincent,Taylor,52,Informatics
Connie,Alexander,52,Informatics
Honey,Dixon,52,Informatics
Walter,Douglas,52,Informatics
Kirsten,Allen,51,Informatics
Eddy,Thomas,51,Informatics
Justin,Reed,51,Informatics
Maya,Edwards,51,Informatics
Jared,Riley,51,Informatics
Lilianna,Chapman,51,Informatics
Rafael,Johnston,51,Informatics
