name,surname,score,working environment
Lyndon,Richards,79,Instruction
Maddie,Chapman,78,Instruction
Stella,Edwards,74,Instruction
Violet,Anderson,72,Instruction
Carl,Walker,72,Instruction
Deanna,Robinson,72,Instruction
Ryan,Alexander,72,Instruction
Fenton,Ellis,72,Instruction
Roman,Harper,70,Instruction
Adelaide,Turner,69,Instruction
Charlotte,Parker,68,Instruction
Jessica,Riley,68,Instruction
Stuart,Smith,68,Instruction
Amanda,West,66,Instruction
April,Howard,66,Instruction
Eleanor,West,65,Instruction
Edward,Wells,65,Instruction
Daniel,Gibson,64,Instruction
Joyce,Harris,64,Instruction
Miranda,Miller,63,Instruction
Abraham,Casey,63,Instruction
Lydia,Clark,63,Instruction
Steven,Ross,63,Instruction
Emily,Carter,63,Instruction
Carl,Payne,63,Instruction
Chloe,Warren,63,Instruction
Kevin,Perkins,63,Instruction
Stella,Johnson,63,Instruction
Adelaide,Mitchell,63,Instruction
Arnold,Edwards,62,Instruction
Anna,Robinson,62,Instruction
Wilson,Phillips,62,Instruction
Melanie,Sullivan,62,Instruction
Isabella,Nelson,62,Instruction
Rubie,Brown,61,Instruction
Jordan,Turner,61,Instruction
Amelia,Murray,61,Instruction
Andrew,Russell,60,Instruction
Blake,Wells,60,Instruction
Valeria,Watson,60,Instruction
Tiana,Morgan,60,Instruction
Elian,Stevens,60,Instruction
Leonardo,Thompson,60,Instruction
Sabrina,Miller,59,Instruction
Owen,Henderson,59,Instruction
Caroline,Stevens,59,Instruction
Walter,Lloyd,59,Instruction
Blake,Ryan,59,Instruction
Cadie,Tucker,59,Instruction
Camila,Bennett,58,Instruction
Melanie,Stevens,58,Instruction
Catherine,Cole,58,Instruction
Ted,Watson,58,Instruction
Victor,Tucker,58,Instruction
Amelia,Crawford,58,Instruction
Tess,Craig,57,Instruction
Chloe,Sullivan,57,Instruction
Caroline,Morgan,57,Instruction
Tara,Hamilton,57,Instruction
Aston,Murray,57,Instruction
Grace,Foster,57,Instruction
Fenton,Taylor,57,Instruction
Lucia,Henderson,57,Instruction
Maddie,Higgins,57,Instruction
Alfred,Campbell,56,Instruction
Michael,Johnston,56,Instruction
Tara,Mason,56,Instruction
Fiona,Alexander,56,Instruction
Tara,Brown,56,Instruction
Maya,Higgins,56,Instruction
Kirsten,Evans,56,Instruction
Violet,Morgan,55,Instruction
Kimberly,Wells,55,Instruction
Lily,Evans,55,Instruction
Vivian,Cameron,55,Instruction
Roland,Harris,55,Instruction
Luke,Cooper,55,Instruction
Adrianna,Payne,55,Instruction
Sarah,Turner,55,Instruction
Dale,Scott,55,Instruction
Robert,Sullivan,55,Instruction
Daniel,Turner,55,Instruction
Harold,Morgan,55,Instruction
Kate,Barnes,55,Instruction
Charlie,Phillips,55,Instruction
Chester,Davis,54,Instruction
Reid,Tucker,54,Instruction
Jessica,Thompson,54,Instruction
Lana,Watson,54,Instruction
Roland,Miller,54,Instruction
Isabella,Andrews,54,Instruction
Audrey,Sullivan,54,Instruction
Patrick,Morrison,54,Instruction
Edgar,Higgins,54,Instruction
Vivian,Ferguson,54,Instruction
Camila,Hamilton,54,Instruction
Lily,Wilson,54,Instruction
Tyler,Carter,53,Instruction
Jordan,Hall,53,Instruction
Albert,Armstrong,53,Instruction
Nicole,Edwards,53,Instruction
Agata,Brown,53,Instruction
Max,West,53,Instruction
Henry,Wilson,53,Instruction
Catherine,Mitchell,53,Instruction
Jacob,Watson,53,Instruction
Richard,Hawkins,53,Instruction
Amelia,Ryan,53,Instruction
Alisa,Mason,53,Instruction
Rosie,Barnes,53,Instruction
Deanna,Alexander,53,Instruction
Sabrina,Stewart,52,Instruction
Alan,Jones,52,Instruction
Alberta,Nelson,52,Instruction
Brooke,Sullivan,52,Instruction
John,Hamilton,52,Instruction
Vivian,Douglas,52,Instruction
Haris,Armstrong,52,Instruction
Alisa,Sullivan,52,Instruction
Alberta,Chapman,51,Instruction
Alford,Scott,51,Instruction
Maria,Carroll,51,Instruction
Robert,Martin,51,Instruction
Arnold,Wells,51,Instruction
Penelope,Cunningham,51,Instruction
Emma,Gray,51,Instruction
Haris,Andrews,51,Instruction
Rubie,Gray,51,Instruction
Violet,Owens,51,Instruction
Tess,Fowler,50,Instruction
Leonardo,Foster,50,Instruction
Lenny,Andrews,50,Instruction
Alissa,Perkins,50,Instruction
Ryan,Elliott,50,Instruction
Garry,Cooper,50,Instruction
Blake,Holmes,50,Instruction
