name,surname,score,working environment
Alan,Spencer,28.31993871412942,Worker
Emily,Myers,24.145527955875973,Instruction
Tiana,Spencer,16.43237319219337,Generic
Steven,Parker,16.43237319219337,Economic
Maddie,Cooper,100.0,Informatics
Amy,Myers,16.43237319219337,Instruction
Penelope,Richardson,28.31993871412942,Instruction
Bruce,Douglas,16.893485705239613,Generic
Alberta,Roberts,37.877543529997006,Informatics
Ellia,Gibson,23.236251607107043,Economic
Maddie,Holmes,28.31993871412942,Generic
Aston,Morrison,0.0,Informatics
Tiana,Ellis,0.0,Generic
George,Foster,0.0,Economic
Blake,Roberts,0.0,Instruction
Derek,Murphy,0.0,Generic
Grace,Higgins,0.0,Informatics
William,Bennett,0.0,Worker
Violet,Carroll,0.0,Generic
Adam,Wright,0.0,Informatics
Rafael,Kelly,0.0,Generic
Evelyn,Thompson,0.0,Economic
Eric,Carroll,0.0,Economic
Max,Thomas,0.0,healthcare
Walter,Anderson,0.0,Worker
Harold,Moore,0.0,Worker
Kimberly,Ellis,0.0,Generic
Violet,Morrison,0.0,Worker
Catherine,Lloyd,0.0,Worker
Ryan,Ellis,0.0,Informatics
Arnold,Moore,0.0,Economic
Annabella,Armstrong,0.0,Instruction
Charlotte,Douglas,0.0,Economic
Owen,Bailey,0.0,Informatics
Maximilian,Myers,0.0,Generic
Miley,Stevens,0.0,Worker
Alexander,Russell,0.0,Informatics
Max,Dixon,0.0,Informatics
Amber,Cooper,0.0,Generic
Jordan,Gray,0.0,Worker
Adele,Lloyd,0.0,Instruction
Myra,Henderson,0.0,healthcare
Justin,Thompson,0.0,Economic
Amelia,Holmes,0.0,Instruction
Ellia,Clark,0.0,Generic
Max,Kelly,0.0,healthcare
Vanessa,Hawkins,0.0,Worker
Carina,Thompson,0.0,Worker
Lydia,Brooks,0.0,Informatics
Tony,Elliott,0.0,Instruction
Madaline,Hunt,0.0,Worker
Luke,Morgan,0.0,Worker
Martin,Douglas,0.0,Worker
Charlie,Barrett,0.0,Generic
Tara,Hawkins,0.0,Generic
Anna,Turner,0.0,Generic
Jared,Reed,0.0,Worker
Elise,Wright,0.0,Generic
Thomas,Kelly,0.0,Worker
Michael,Murray,0.0,Worker
Miranda,Mitchell,0.0,Informatics
